mu1,mu2,mu3,mu4,tau1,tau2,tau3,tau4
-2.19949680781095,-3.28992606459012,-0.162561644834132,0.0328824553823199,3.09810034755908,3.45490978381107,1.93410897620764,7.76368006626639
-2.17347619998974,-3.31003357073354,-0.424463114957747,-0.0520200816512816,3.27173801596362,5.29178650648589,1.66467029993462,5.88655027007511
-2.33947928602242,-3.33321710639469,0.016123011296625,0.0320439289725593,3.1087512297904,3.32847564797377,2.38102138521913,4.97979504497484
-2.40252260464167,-3.40508867251204,-0.0463594671485798,-0.0440676809973743,2.88503579974173,4.28758781142318,1.98688155764607,9.10011492667342
-2.19587865158297,-3.38321938723796,-0.223467067113477,0.101766376738346,4.11203170100476,2.86953955282696,1.63094841735273,7.61822218641281
-2.27856441109715,-3.29656964086735,-0.0301200443056986,0.0567102990591436,3.25043616430522,2.7011106221946,2.08293819383672,6.41249887297168
-2.28273382026873,-3.30949630920683,0.0125210606453487,-0.0210733521945101,3.15918090819877,5.21638218123812,1.83192592212211,6.71790127145822
-2.16623007413508,-3.21276947799518,-0.0766485378399787,0.177767577542623,3.99567784570791,6.43466974136242,1.77544760373092,7.46239320807288
-2.17493910625579,-3.33173530895195,0.0300657680372932,0.160285825773767,4.52119060116811,6.0573237463122,2.00440907953959,7.21055785134823
-2.21455898313722,-3.46519027976021,-0.0654132673600793,0.163067816229006,2.72888924555921,7.68297519985898,1.11951931949116,6.20191605020045
-2.15248795353517,-3.3405319442413,-0.0801123275928236,0.0348782480550252,4.24742954748408,5.05549131382615,1.87080256277746,7.74399220841145
-2.16290490572237,-3.38773870318374,0.132882647837577,0.120458630655275,5.11948079746646,5.22886080724887,1.59002496537091,6.74720386630218
-2.22637973845306,-3.40652471377523,-0.0201355297549031,0.0528023173427557,3.38376193795782,4.69003691823751,1.82171601241507,7.87533825146527
-1.98740736687038,-3.40947667199716,-0.231582333827878,0.0610024034687629,2.70156362900264,7.27758975964811,1.2364476885789,6.05499345873317
-2.30096907742009,-3.44505456698325,-0.0824436395057922,0.0452034125213521,3.37825432067985,5.58828752500419,1.86802624700354,5.67960080236296
-2.33714360400214,-3.3566896066464,-0.10382611960093,0.155982896930321,3.01720453545539,6.26403428853407,2.53623232214154,6.28166802274426
-2.24737957556641,-3.27832238489451,0.00232499381639857,0.111788607619096,4.80633347590478,3.85204739887483,1.70292509681966,6.953967672289
