kappa1,kappa2,kappa3,xi1
5.45366,0.269951,1.97649,-3.07279
5.49516,0.255339,1.98093,-2.62585
5.56428,0.196883,1.97992,-2.61936
5.5761,0.213285,1.97989,-2.62052
5.53743,0.199364,1.97996,-2.62188
5.68956,0.0897379,1.97937,-2.63225
5.64807,0.0302199,1.97943,-2.63544
5.53724,0.257688,1.98197,-2.88065
5.38808,0.346346,1.99213,-2.81846
4.31677,1.41457,2.00612,-2.95457
5.60599,0.162873,1.9805,-3.04132
5.06285,0.703256,1.99895,-3.62092
5.25609,0.493606,2.00593,-3.63434
5.15926,0.59354,2.01389,-3.64503
5.29894,0.485123,2.00707,-3.6434
5.41315,0.354996,1.95969,-3.40591
5.40083,0.326223,1.95954,-3.40802
4.34073,1.36984,2.00599,-2.96424
4.43829,1.28416,1.99418,-3.07894
4.59258,1.11359,1.98631,-2.76319
4.12832,1.56247,2.01024,-2.77063
5.60404,0.144145,1.99665,-2.79163
4.3859,1.34488,2.00279,-2.74355
6.42455,-0.746566,1.9777,-2.82679
6.34644,-0.654041,1.98152,-2.92846
4.37385,1.35571,2.01089,-2.81876
4.30925,1.39427,2.01423,-2.83514
4.15035,1.58379,1.98595,-2.84413
4.82604,0.91495,1.99475,-2.79847
4.74511,0.973058,1.97112,-3.26045
4.99545,0.75031,1.97864,-3.40865
5.00096,0.770519,1.97801,-3.4854
4.9788,0.79278,1.98158,-3.50811
5.01657,0.756569,1.98781,-3.49296
4.44775,1.26508,1.97563,-3.07038
3.49062,2.29651,1.96668,-3.42028
6.92163,-1.12826,1.98782,-3.22205
6.93273,-1.12611,1.98768,-3.22243
6.85424,-1.07893,1.98897,-3.2252
4.24179,1.44747,1.96667,-3.25915
4.54241,1.20232,1.9652,-3.17506
4.83136,0.900271,2.00239,-2.77723
5.15848,0.509203,1.97477,-2.75998
6.22695,-0.535225,1.97075,-2.88547
4.64742,1.01895,1.97851,-2.88639
5.51351,0.158429,1.98328,-2.94436
5.17982,0.501267,1.97763,-3.03386
5.27444,0.402307,1.98015,-2.89261
6.2235,-0.534154,1.9852,-2.90513
5.77623,-0.119257,1.98437,-3.16349
4.33494,1.41359,1.97396,-3.23964
5.68784,0.00950419,1.9862,-3.48678
6.05018,-0.299899,1.98556,-3.54883
5.57702,0.132052,1.99003,-2.6832
5.71391,0.0198097,1.96865,-2.98793
5.89519,-0.140768,1.9633,-2.84314
5.56515,0.258865,1.96943,-2.82088
4.93396,0.859229,1.9494,-2.90848
5.37393,0.37209,1.9671,-3.13064
4.83658,0.90151,1.98766,-2.64132
3.84185,1.89104,1.98118,-3.00749
3.77877,2.04927,1.98059,-3.01695
5.02958,0.742732,1.98722,-2.9844
4.80505,0.973254,1.97512,-2.79439
4.11663,1.63252,1.98171,-3.03398
5.41956,0.342916,1.96918,-3.13604
5.17975,0.560276,1.98883,-2.88905
5.82024,-0.0786254,1.97701,-2.82189
5.84194,-0.0825969,1.97782,-2.82205
4.50295,1.26128,1.98405,-3.07637
4.82463,0.937367,1.97755,-2.76476
5.24553,0.491064,1.9581,-2.68533
4.59434,1.17317,1.9976,-2.83933
4.79477,0.908311,1.9889,-2.85779
4.78338,0.92727,1.98825,-2.86191
5.59286,0.163787,1.9893,-2.73766
4.81948,0.886768,1.96389,-3.25331
4.85795,0.930968,1.96419,-3.25229
4.48625,1.29043,1.97719,-2.98638
4.95597,0.788988,1.98224,-2.89985
4.83513,0.865438,1.96438,-2.9529
5.64273,0.109735,1.99899,-3.14177
5.26566,0.47916,1.98682,-3.04409
5.36771,0.387175,1.97463,-2.89563
5.18787,0.551527,1.97404,-2.87343
4.78325,0.950963,1.97565,-2.75144
6.1593,-0.459451,1.97646,-2.81466
5.20434,0.469377,1.99724,-3.21855
5.58938,0.073266,1.98064,-2.76785
5.03402,0.65978,1.96923,-2.89044
4.508,1.18248,1.97074,-2.79723
3.90022,1.80262,1.99136,-2.83232
4.53326,1.25223,1.99402,-2.9409
4.50606,1.27878,1.97296,-2.78213
4.86638,0.863635,1.96829,-2.94479
5.02272,0.813845,1.97876,-2.91658
4.77194,0.99612,1.975,-2.87191
5.29345,0.51655,1.99035,-2.72547
5.47322,0.360201,1.99332,-2.65894
5.19081,0.654693,1.98924,-2.66523
5.47846,0.274819,1.99056,-2.84612
5.34817,0.456347,1.98254,-2.78604
4.34155,1.47662,1.97868,-2.82242
5.74567,0.0662249,1.97449,-3.12772
5.24522,0.557241,1.99096,-2.66849
5.83988,-0.0298872,1.98293,-2.72014
4.44961,1.34461,1.9677,-2.93884
4.83994,0.944112,1.98781,-3.20663
5.0589,0.740243,1.97503,-3.27908
5.33139,0.491249,1.97968,-3.08944
4.88202,0.939921,1.97757,-2.82317
5.19264,0.560906,1.98823,-2.96313
4.39354,1.35755,1.99564,-3.03537
4.35716,1.39059,1.99052,-3.07103
5.98958,-0.289919,1.9758,-2.8382
5.98782,-0.278785,1.98282,-2.75378
6.36974,-0.667424,1.99934,-2.74431
6.34406,-0.640092,1.99595,-2.83964
6.31878,-0.583777,1.99481,-2.83655
6.1246,-0.402186,1.99286,-2.83415
5.0961,0.632173,1.96817,-3.04541
5.81433,-0.0978755,1.98582,-2.78222
4.60355,1.11761,1.99181,-3.00368
4.67781,1.04133,1.99036,-3.0099
5.11995,0.636916,1.98826,-2.85027
5.67847,0.0960958,1.97649,-2.91504
4.5401,1.25079,1.99672,-3.3758
5.68258,0.0545013,1.97513,-3.43396
5.80811,0.0173288,1.98388,-3.51339
6.20975,-0.414783,2.0076,-3.58595
6.22827,-0.411132,2.00777,-3.58911
6.19743,-0.383971,2.00649,-3.58779
6.24111,-0.407646,2.0114,-3.55608
6.29549,-0.498263,2.0028,-3.58804
6.43039,-0.587185,1.95584,-3.33091
6.38302,-0.522815,1.95717,-3.3388
6.39773,-0.508693,1.95728,-3.33992
6.06283,-0.25388,1.99144,-3.29061
6.07804,-0.212064,1.98483,-3.36137
5.12121,0.738278,1.96911,-2.69501
5.10046,0.703202,1.9689,-2.69501
5.19102,0.669751,1.96422,-3.00612
4.91114,0.921079,1.96468,-3.00306
4.95573,0.90796,1.96236,-2.85572
5.00561,0.83378,1.97621,-2.80872
5.34352,0.523368,1.9887,-2.74383
5.33357,0.518044,1.98859,-2.74405
5.22894,0.615743,2.00001,-3.0123
5.26736,0.567641,1.99288,-2.86042
4.8247,1.01764,1.99652,-2.92165
4.95314,0.868955,1.99771,-2.91973
4.85196,0.952804,1.98442,-2.7367
5.95722,-0.107871,1.99082,-3.02746
4.98748,0.818249,1.98988,-3.04506
4.98104,0.812687,1.99148,-3.04453
4.5128,1.26236,1.9962,-2.84639
5.37193,0.415861,1.98304,-2.76096
5.37167,0.411058,1.98166,-2.96922
5.10079,0.731395,1.98483,-3.19354
4.29493,1.54338,1.98004,-3.23629
4.73168,1.11065,1.9744,-3.1784
4.56632,1.27434,1.97433,-3.18974
4.90606,0.871768,1.9858,-3.17501
5.03603,0.819437,1.97915,-3.0916
5.60325,0.236113,1.96868,-3.2061
3.96789,1.86676,1.98814,-2.99766
6.0678,-0.275801,1.96318,-3.30282
6.12388,-0.219906,1.96393,-3.29984
5.03614,0.772929,1.99164,-2.73608
4.82681,0.967584,1.96318,-2.7692
5.23962,0.545157,1.9686,-2.73392
4.82616,0.976652,1.98334,-2.86222
4.92203,0.850377,1.97304,-2.86783
4.3985,1.40784,1.96723,-2.87092
5.14975,0.66366,1.96038,-2.83402
4.90917,0.897805,1.97907,-2.82187
4.88397,0.876812,1.97307,-2.75017
4.04886,1.7552,1.9855,-2.91817
4.16867,1.63123,1.98239,-2.90429
3.86401,1.88653,1.97566,-2.73004
3.92475,1.83699,1.9798,-2.71077
3.95582,1.83636,1.98096,-2.68291
4.03464,1.78277,1.98355,-2.76024
