mu1,mu2,mu3,tau1,tau2,tau3
-0.731866169484373,2.41174715289746,-1.16110741857274,3.79603818714712,9.75353577849712,3.25662393345648
-0.766499558248605,2.33433414893167,-1.06155014855111,3.87785268927057,8.08643798729128,2.76396291204954
-0.643113655906002,2.4558353161385,-0.828592498915319,5.0450727845315,8.08918642143749,2.64128602973157
-0.603834526709982,2.36335255931946,-1.08713475516315,4.02542369369026,7.5160439721905,2.01943157220934
-0.816281401181138,2.31536881016011,-0.873003591093449,3.64763763626748,8.08157114312511,2.41245820176242
-0.70908306789304,2.43831637300915,-0.978859146650641,4.57314540728822,8.42868576196736,2.24405680128691
-0.716974500940916,2.43847038980384,-0.922557238650428,3.19765009583678,8.07699835951143,2.15529102154467
-0.917298997939579,2.32814879184071,-0.925014840216073,3.86119494377246,6.4183234026214,2.16179079961137
-0.774316039716161,2.30881673196764,-0.707712215852165,3.97613536199813,6.09996493844486,2.56266371644433
-0.678158874666355,2.28916881030712,-0.89507015572051,4.38939655420577,7.6428207810496,2.51339497529944
-0.561845395560628,2.39679115516929,-0.686211873889064,2.79263779560594,11.3593905725001,2.60465978839813
-0.742001822489141,2.41723669971478,-0.624837697274246,3.95552794739175,6.5885858101577,3.04661263984706
-0.774015342166391,2.37275655310105,-0.65860339424851,5.06458499268236,4.90767737148944,3.12978935395475
-0.737334928522164,2.42667627856438,-0.678261721131167,3.55531552788742,6.04426803143061,2.48609121738662
-0.779721863168526,2.33244175379304,-0.62671474074459,3.12451365838049,6.61372289503601,2.07970248115119
-0.79995762248829,2.33665052045246,-0.725146116190861,3.57791692417683,4.92943615758218,3.08621117387697
-0.639134734698452,2.38489193482994,-0.745928585353732,3.54520805130192,10.4750925800317,2.90267973629314
-0.697708010797626,2.463302264219,-0.837326143638718,4.78644976163062,9.06997176196513,2.30617875064778
-0.713969537012442,2.38589172309892,-0.933462777343039,3.28403745275666,5.78660407170324,2.6847641290352
-0.786802997649538,2.32862354843593,-1.04305751789337,3.66452992110606,7.67769236059345,3.25441417422479
-0.678667453661377,2.33027209171198,-0.903674845565802,4.12847469224689,7.74069210767212,2.83195636665431
-0.580276591246143,2.34447728254069,-0.813327286398791,2.94540113832212,5.80581627882889,3.12525547873813
-0.588689315921815,2.45720577505039,-0.832579130165113,3.40917283679957,5.03849706645401,3.01036637661285
-0.781288586378895,2.345141448577,-0.76518626266771,4.29568380670079,8.93215977164031,3.07235129918894
-0.807779565320089,2.15987467045537,-0.919492684642407,2.99951399165068,7.0240717497124,2.48166926582106
-0.597584296763434,2.46511892453983,-1.02014595644568,3.1355616647388,7.66810083033218,2.78407621317834
-0.597483316624222,2.45724530136665,-0.940543832455648,4.46264053225149,6.35805707239836,2.23430929348049
-0.535184406668293,2.31219063292758,-1.00053136534307,4.3377236195821,6.49491858860769,3.08491480191799
-0.595749980434242,2.41773097322982,-0.944641541003679,3.12019518800009,10.4756444613797,3.52586105200035
-0.655155856243655,2.44039112305668,-0.998842589473556,4.29289288628502,9.37996789701618,1.63429370316487
-0.681311513353934,2.39709601694218,-1.0396933935399,4.71921046675892,5.45534493681316,2.79248182461362
-0.689757398658252,2.29509212120901,-0.87953190109981,4.8443501101218,7.60341830375866,2.23336128622141
-0.59943120708686,2.43408593483803,-1.02215145454507,3.53018122834393,9.54804714531681,1.95154526306998
-0.795612019039784,2.41899656383678,-0.969624270647708,4.31831711297983,8.01367202220427,2.15624877501165
-0.605117012957176,2.4571062613867,-0.97233355714123,3.46896969415935,7.17074761686005,1.66739416520814
-0.695935688712678,2.4161189516117,-1.06790834731283,3.6840063615699,7.01255338580469,2.38283109081868
-0.642259743489635,2.41143509052923,-0.905342904492539,4.44953011236595,8.35658515602936,2.71749774275208
-0.613490572656794,2.39391869015944,-0.964738308648768,3.9110107681708,5.64626081038957,1.53249041366606
-0.466802104069646,2.47533483634084,-0.992418059237579,2.15043800162184,6.42357218761583,2.60568373849437
-0.743908656403779,2.35875489727185,-0.836056676164503,3.7973850610777,10.3151722655049,3.05468788708724
-0.837633329145092,2.43946326632679,-0.760621003669954,4.1462865079536,7.88081130479334,3.27349934770765
