mu1,mu2,mu3,mu4,tau1,tau2,tau3,tau4
-0.738723202510448,-3.10941269729538,0.358097122826165,-0.206407892957914,9.65574151972603,6.92550735609645,13.3533402992222,9.44285987908606
-0.679908365000754,-3.12764857358541,0.372345356237243,-0.130462644691166,8.36604848618552,6.05849153174788,15.5186654050147,5.66931680252851
-0.706545350178905,-3.16674333675502,0.405507701612052,-0.175400280838453,9.30298999744241,5.80241441987312,15.1855846044592,8.38188069139392
-0.754957044584845,-3.24088823012359,0.326409233227379,-0.100156481079524,9.85718562356228,5.30955960850226,16.1518756832423,9.43673959536831
-0.77377120509248,-3.13191086018868,0.395531290558734,-0.140554125764591,8.3578252961351,6.12562864923923,12.203936616845,5.91781817589058
-0.790109993454853,-3.0919958846147,0.33557453397096,-0.170889931789915,8.62010030616222,5.61485734560575,13.2567826582484,6.59587455624082
-0.730443625630587,-3.02181924080019,0.326815337088693,-0.17349288130264,10.3207732201742,5.92052579437667,13.5297541864684,9.09994651505767
-0.844500497408107,-3.05586771515304,0.329054902934937,-0.25181902517236,8.08119062600923,6.2762481470834,10.3322715110091,9.60334999002638
-0.782780862576917,-3.06354564257055,0.35891646891587,-0.198179785192953,7.74410020484953,6.65999683506824,11.4506917395183,8.84897981854633
-0.796346551962888,-3.11011290365659,0.289408477274829,-0.266188344631607,7.20467279120533,6.08401169474098,11.3482790616335,7.70057669298355
-0.833066297798325,-3.06829724759474,0.273873813120627,-0.225222568695805,6.54396852408779,4.51341383320521,11.8575104742423,8.70028457356789
-0.777370665222926,-3.14800788717451,0.288177758071643,-0.260264609247475,7.60307536602949,6.40540293820634,10.2036803699962,7.32795477569478
-0.836273471624611,-3.15385012990909,0.247285331102165,-0.26166250810106,5.58482083678871,6.77371077980771,10.0700342083491,6.37140834001205
-0.75084119883392,-3.18599323762437,0.307405219021335,-0.178407991739298,5.60683111364406,7.1143525990656,8.40901889202908,7.82753950247213
-0.772536143983918,-3.14759752125105,0.330616581603127,-0.244053706751415,6.9618141574332,5.49564640190283,12.3214736988965,7.25040035871844
-0.80535281828002,-3.14157419591323,0.325861381145957,-0.234578121439539,7.66142209940856,6.11817010016192,11.7995488674284,7.22790914254335
-0.751601309057764,-3.15072920867482,0.3167491473412,-0.204604861497045,8.75446004539706,4.96647793963738,16.1820282011276,9.0983269949741
-0.748199633950423,-3.19509790902256,0.292510046108679,-0.230165115920487,9.07065256416358,6.36981803605778,15.9279613825486,8.1950815427363
-0.829383625175363,-3.23400918846849,0.289809217320947,-0.1914454723926,5.96457872604344,6.46693922222519,12.6596611885406,6.84335139204123
-0.800413005694303,-3.22886557597663,0.30870236880401,-0.234520478749764,7.23652213534355,4.09992610394986,12.3832712497022,7.56259530871002
-0.756974938993245,-3.28275335152636,0.292132673663952,-0.229930893272317,8.46849026400996,4.02388689185353,16.868395685667,5.54321990713452
-0.76775924787523,-3.27024148321701,0.274887293830456,-0.1743462292082,6.09668023617033,5.06872290278194,21.1246528369595,5.66527372744108
-0.788072416114955,-3.22386078186738,0.308780490055323,-0.192702401879367,6.98600168375964,8.03364684671089,23.0622582699715,6.72145242069601
-0.786606544394207,-3.20202997486084,0.281760542061642,-0.173809871700052,6.71366977875108,8.39945519744227,20.6882730063958,8.54563203638139
-0.815396600270548,-3.24374254549326,0.298748183896546,-0.219659130842085,7.11090405921709,8.15526833860145,22.0176929594125,7.08886003496718
-0.868614758095893,-3.29842048975143,0.273109870089622,-0.281466190133529,7.4692754083895,5.11254605188772,16.7261470820497,6.85843333149798
-0.741699402060014,-3.24394927798618,0.301455457208423,-0.18718025916858,7.05534292401525,6.33419173475073,13.7623492099421,5.25956882613963
-0.802809084168804,-3.22942221424939,0.332707717311991,-0.277358439229778,9.11011161366593,6.11242598961886,15.0451348764647,4.89188876092359
-0.81658690920718,-3.1900622319391,0.315193486486929,-0.249480171878731,7.4005912590949,7.85150162858244,12.753141592287,8.10211556420212
-0.81230560493852,-3.14715973635236,0.252134683899031,-0.332461407702296,7.32921432402332,7.1468141406479,15.5119617484255,7.21320989756525
-0.766512808303482,-3.0983288312392,0.230665387563897,-0.212570357624146,8.17642336260918,10.4180497966298,13.7592411319064,5.75191557513449
-0.801396843374153,-3.15927606297319,0.22906591188257,-0.254813885541428,7.19870566472044,10.8940921044814,15.4450695738968,6.21906122305282
-0.766974930299243,-3.15187054574026,0.227984032486898,-0.212580985086322,8.26921176453921,11.2294001825891,14.2900828441947,5.2528597979295
-0.787908071341802,-3.22367262623811,0.300300312107858,-0.253247750925464,6.16454785837792,7.00072733763892,13.3054076429555,7.88928197819501
-0.688364676703903,-3.15141325016067,0.262005492514255,-0.231787737284059,7.0574614073801,6.12466470540873,15.7500140284912,7.50297986210381
-0.82923305352095,-3.15810874466424,0.245151772793961,-0.190837747953051,7.95216895701392,6.13639445120421,17.0863702200575,6.59491065853675
-0.734125163858635,-3.16301832623573,0.23358886494752,-0.269391908804619,5.1258823822624,6.37400707489616,16.0239611884808,7.65121652715864
