scale1,scale2,scale3
14.55088293641366,8.674207064875157,12.39024198920113
14.883724280703955,9.38849290140753,12.185156742133897
15.687741932695362,10.226100957144894,10.510246126033252
15.320958648897285,9.751897222698833,9.377020051070938
14.000976021587048,10.129430971094743,8.621077886255947
7.9345001157635435,8.035426337722004,8.730375862046662
15.610770521602465,13.504292685871967,13.192006490462234
9.863469257781116,10.114035003119234,10.70812354970561
12.397712271359234,14.252835544036307,8.618848683990162
12.466609991551623,12.99884226693577,8.591660150756855
10.220065620288834,9.612182808757087,9.319943218604982
11.217891064369018,10.897614332599609,8.81273562778424
12.504779473934603,11.2201842841995,10.158324792531735
12.278417565227464,10.900009433356974,9.823856633184006
9.276508171060065,7.836069624459204,10.817917774080945
9.48364841036069,8.845663935120198,11.811900001714465
8.648452157942716,8.181991753684196,12.502743076206212
9.117655182522004,8.340606758446604,13.342323938503588
11.896871891556675,14.399078929902569,13.905424818523272
12.996882626438675,10.948016601270684,9.035966515018893
14.071905279367408,16.530188710581285,12.260744185006388
13.824331325605641,16.12880269982982,11.75588224623452
14.3289223382591,17.54753997531447,10.943447323458365
13.43594863521092,8.34823994401004,15.68515094000869
14.788444036470308,7.79789645825383,16.240800080744567
17.627679183489096,8.958337209633767,14.303518005620308
7.950840587091401,8.572286794636293,9.96031599385177
9.908714158570795,9.5867339023704,10.252699742333295
9.180540228361753,11.478843568065454,9.119891015906571
14.229657462385408,7.4922192989881395,12.412356273807859
10.05287459849942,13.776454159549216,9.626487895733376
9.870596328536848,13.847260237981407,10.12014874813082
13.102469903710123,4.838781773746336,10.350094137551306
7.258288489766777,8.192181534432395,11.25555607359166
17.500796266485835,6.591138745154901,8.587530225438421
8.402249556123305,9.161565509142918,10.867992251939837
11.499892538870823,7.162473416471643,10.787434665162614
12.088436618746632,8.11258211265627,7.139967075667949
14.32143654889352,6.574358441096659,9.259903361661792
7.42375653867177,9.519517221869629,10.061087655760385
13.123140824391735,6.355617527249792,8.437293344718514
7.992026723491707,10.898073854225018,11.751181318956363
11.930052782270955,6.309271765163082,6.782947044018674
13.124839393085802,8.583404189294527,8.283994936556493
6.812337699202229,9.699191809729674,9.121678229630307
9.39101458603969,7.315189283813078,9.70084810401261
9.79812573074707,6.80109163580109,9.488975449926128
9.477875155835372,7.1794216940452324,9.571095368105544
10.25349576682708,7.40539719547284,9.976293131496854
9.32740899081757,8.623407943880474,9.574678801291663
8.653816956340174,8.678870077221521,8.746846021432725
8.826137971455722,7.8814321531419615,9.01253057593715
7.559460363902964,7.861023793278946,7.7681718519411245
7.824264558392486,8.294826927825238,7.582286225283659
12.450442728852444,9.31276128677711,11.797178807456547
9.936695000016638,11.409317490287192,7.145209215189536
10.771394167175346,11.861533851164001,6.644028867679539
10.67809003946705,11.792791505264722,6.561759150875619
10.776197082983819,10.626069203925683,6.917520275912086
8.417715149149565,12.499900644894579,15.30632614938097
13.519307514732077,8.124758796444572,6.95740310605004
14.50332161864031,6.624513800617605,6.834061846607425
8.3346636777449,14.426278924912042,11.08908510823724
8.3346636777449,14.426278924912042,11.08908510823724
15.667076254376365,8.481482740599713,8.369193091771614
8.43170128997852,13.445639364633838,8.068904839729706
8.748140470321813,12.041961608205607,8.23634039381192
9.00221111404147,11.569360747772047,8.153160530272888
10.243650016967882,9.431708511962837,7.872325434968865
9.378013436732376,11.561065365153318,8.965507324295864
9.971765226258059,10.133908185285518,8.574423333947685
12.456368878969913,12.85091111223337,10.050629305086604
7.902216728014388,8.56306689089219,10.66828522188415
14.663840999550365,13.77386999113744,10.904007096168343
12.631505963499247,14.781178545145348,12.350788992601126
8.517388298892827,9.424695755593563,10.10366072329875
7.045185239351308,8.934506522566656,5.931688660064068
6.859247186268439,9.19291535571828,6.301577501700126
15.493915583425926,13.343760980424223,8.891004319274684
7.62414116214499,7.754115022245402,9.889019019976528
12.02000452931557,11.82982593987742,11.780407846736187
11.47842534717156,9.222082299317904,8.285355144854078
11.369283357807827,10.17602899092914,9.287590886850973
11.291851703648785,10.006307967693383,9.417229113034399
12.990232655366606,11.205285194510658,7.9482217679961
21.53106103338931,8.922171839515903,8.423192114610773
20.337810656080787,9.049080633350453,9.068791233772247
20.337810656080787,9.049080633350453,9.068791233772247
16.936050662065632,9.393217624178037,10.627780806081363
11.193603755339833,7.90591166057854,9.899208464161545
15.482276587924416,9.753902570616068,11.619419475636045
8.456174574058004,7.636619598601879,11.567047524447807
8.319668050272716,7.8940846843921175,11.268486960409644
9.110543180123969,7.153895969240259,10.301167661959248
8.89413944233257,7.501312999977667,10.247015468655315
10.666750335921309,8.132226480382172,6.3062689963384315
8.905581839748146,10.820905882945464,13.320479820799244
11.175019177823218,9.613102955854085,7.652250177200959
