mu1,mu2,mu3
-0.6357905368921434,-2.900406273768741,-0.08830256218547625
-0.6668311776724325,-2.9461380859250186,-0.05560722274840795
-0.5724902371959595,-2.929325195319965,-0.0830440181844493
-0.6314350281782115,-2.972896344787271,-0.0007393177470347151
-0.545826311295144,-3.030602176368252,-0.05596717569162618
-0.7011741237131215,-2.871862518819405,-0.07499561547611494
-0.5458826703245985,-3.0090010591465814,-0.08170995482597933
-0.5610708529766026,-3.039300313550547,-0.05389296584233766
-0.6038518469612817,-3.0285346183363653,-0.046903131522086625
-0.6043714425909429,-2.924954701570523,0.001305538285459873
-0.5712955927713683,-2.8727982104298673,-0.07013011246516906
-0.6450727051775988,-3.053464675643809,-0.03697640064812595
-0.6308163302240876,-3.036818190868254,-0.04599289760665595
-0.673536831593865,-2.886512499249708,-0.06816685168130841
-0.6236205930824824,-2.8856798360431473,-0.06091326707409012
-0.6358990293171219,-3.000972208369489,-0.01824302257051752
-0.6329689035355619,-2.984504731790085,-0.0808763808776321
-0.654089934085051,-2.9659376220547853,-0.012698767341242208
-0.6029730636841548,-2.897444888353607,-0.09817361485487235
-0.7125029435451111,-3.0046359515084613,0.0232698216058721
-0.6161050974893764,-2.8634376847258953,-0.10729513982701233
-0.6611934677171231,-2.8955660160133503,0.13887670963871193
-0.6196488566235955,-2.873778519842588,0.13961959719938336
-0.6203968097372947,-2.806227710616067,-0.03143859039360447
-0.6299525569677019,-3.0111482868505592,-0.029025720502621047
-0.6003580953210774,-2.8167956162876013,0.0001347365364437851
-0.5880756926396815,-2.8970186352867193,0.10316671167049064
-0.710797736645441,-2.890068563493641,-0.1926061385016979
-0.6977302068534517,-2.9041758360628567,0.03764681891120887
-0.6331591226448766,-2.9012283544090667,-0.035739800366332286
-0.6365737601930332,-3.009554679379469,-0.04970264533122261
-0.6418211202776196,-2.817715133942119,-0.06900988150904645
-0.6555321078141274,-2.805392435425839,-0.06241223566646329
-0.7336562920461436,-2.900619146364151,0.012114996394958312
