mu1,mu2,mu3,tau1,tau2,tau3,xi1
-1.1393804716148745,2.3478839341017155,-0.5199153923204709,1.9448593603014939,8.503994297333996,2.653774514016073,-1.1685909331190034
-0.9358188084507849,2.3599232279663287,-0.5161481426829292,2.3026533903721442,6.529697256480287,2.452727000475795,-1.1685909331190034
-0.9483365648180364,2.3085115080972547,-0.5441928380769228,2.635541210634293,10.031240179865147,2.6836572286186406,-1.1685909331190034
-0.9443790493694713,2.3415002829000975,-0.5017340914183539,2.0933765132539404,8.065239462912688,2.873791769275051,-1.1685909331190034
-1.053735697938579,2.368619809568807,-0.5898537030283276,2.739090744267555,6.393828138930242,2.5083382570569825,-1.1685909331190034
-0.9968252300959661,2.272426263795176,-0.66397967537064,2.0745282048669034,6.322115092847837,2.6281165949091347,-1.1685909331190034
-0.8913025549480718,2.360946677227029,-0.5634401002431249,2.674947400522658,7.502289499527919,2.8856057495667207,-1.1685909331190034
-0.9518450656369771,2.35697710641376,-0.5215839369589316,2.4608316762824107,8.055049016897646,2.6173896108336296,-1.1685909331190034
-0.9449948810693253,2.355733614055034,-0.5949512746169436,2.356583724738638,8.02517252677853,2.5743550343987622,-1.1685909331190034
-0.9874953373827717,2.297855763145423,-0.5671964645140593,2.2144714314189273,6.185418695073256,2.755689994264263,-1.1685909331190034
-0.8015286962535134,2.330205906064556,-0.41376528206697105,2.650809423507682,5.496569573143561,2.739578371949423,-1.1685909331190034
-0.9679434542612613,2.349679868429834,-0.6208142997027518,2.698713832953812,7.169640490919067,3.141179422998802,-1.1685909331190034
-0.9270976771429033,2.2892949676446603,-0.5339204080949688,2.718712087025945,8.160003436908347,2.2505490209165115,-1.1685909331190034
-0.8903371013729131,2.333998466464806,-0.6341666651349602,2.593915740166642,8.45318339495784,3.1382266320267562,-1.1685909331190034
-0.9794276247387981,2.390188635438685,-0.4698056579513517,2.9155992985303842,8.230852454827186,2.505218589874698,-1.1685909331190034
-0.8625317200535899,2.300814906021015,-0.49985624066576245,2.52671471048714,9.388291002853894,2.44549047303281,-1.1685909331190034
-0.8893349527536769,2.358244304570319,-0.6108520851373623,3.211666546025422,9.217044342392501,3.0179662092677266,-1.1685909331190034
-0.9696343055754723,2.330822055694107,-0.6282410727925786,2.7131821850130575,5.979903926516092,2.443794911803458,-1.1685909331190034
-0.9228496865212293,2.3367364615497075,-0.6960908222447627,2.496279585617883,7.611968573810999,3.7026487952990075,-1.1685909331190034
-0.9844655860116687,2.3773993183343474,-0.6322693789610303,2.3518864421626153,8.591340741116923,3.4282977326429,-1.1685909331190034
-0.9727528131489498,2.3751302976510487,-0.6475682863959478,2.824902905605778,5.680683882142556,2.4656966700972482,-1.1685909331190034
-0.8540082850569534,2.342902074302956,-0.5921787983472663,2.2196212821539367,7.124330773845939,2.828929372202573,-1.1685909331190034
-0.9046129493597083,2.3351524957026872,-0.5750916570956479,3.087261167094721,8.117008303035147,2.9643109125211264,-1.1685909331190034
-0.8469218144528896,2.3573895215814105,-0.6850782621946404,2.784136686615442,7.6014269880421,3.4743493605134774,-1.1685909331190034
-0.9834591409528176,2.4012702940489157,-0.6864819439271117,2.1041493760976753,8.919552520840101,3.28983132243721,-1.1685909331190034
-0.9581612032573471,2.406284437501783,-0.5960653495867171,3.460831182140667,7.789008389341476,3.4005335602131717,-1.1685909331190034
-0.9331845418619966,2.351853999446536,-0.754688136205737,2.8991796767604985,8.827485200281512,2.774274899994541,-1.1685909331190034
-1.045526670145982,2.392789938969467,-0.7031136927942391,1.9131753986353892,9.401997693589264,2.5124701894744046,-1.1685909331190034
-0.8508207212705876,2.284187916454802,-0.6440850891332528,2.7596342652950026,8.095257720531421,2.1113262893856373,-1.1685909331190034
-0.9984731022251528,2.3542186140213595,-0.6206396940439639,3.0215472043527947,8.92274483301395,2.3598001051541964,-1.1685909331190034
-0.971778262481688,2.329526030316313,-0.8096572030740518,3.160176548572331,9.407863528585604,3.0738170997893195,-1.1685909331190034
-0.9617890720282164,2.395904665819231,-0.7272834544312665,3.044265728188444,10.37777283678322,2.442042615891823,-1.1685909331190034
-0.8999894416699081,2.3656104917163994,-0.7397596531699118,2.6072943557455175,7.813095179513449,3.6910621416360585,-1.1685909331190034
