kappa1,kappa2,kappa3,xi1
4.80201,1.3881,2.14253,-1.58653
4.61016,1.59444,2.15566,-1.61566
4.77751,1.39108,2.1684,-1.62648
4.32543,1.88647,2.1013,-1.58811
4.49727,1.70487,2.13645,-1.60472
4.74536,1.46023,2.07726,-1.61474
5.13583,1.10614,2.11359,-1.59087
5.29188,0.90344,2.11982,-1.59359
5.86158,0.372031,2.11017,-1.57435
5.86193,0.331692,2.11046,-1.57389
6.02069,0.16546,2.0937,-1.55408
5.52931,0.698013,2.19452,-1.59389
5.7132,0.462026,2.15482,-1.50487
5.43091,0.782682,2.15573,-1.50872
4.70195,1.4953,2.145,-1.64839
4.56459,1.62781,2.11521,-1.54313
4.94372,1.27507,2.11225,-1.55423
4.87513,1.3237,2.1146,-1.59877
4.64808,1.53326,2.1151,-1.60055
5.20966,0.990277,2.11185,-1.61898
5.1883,1.00954,2.10406,-1.59657
4.7816,1.40341,2.17359,-1.60338
4.84576,1.34836,2.17905,-1.62927
5.45903,0.722107,2.15602,-1.59332
5.67132,0.49274,2.16586,-1.5678
6.22357,-0.0549633,2.15045,-1.50728
5.81848,0.35001,2.14109,-1.51051
6.45791,-0.273693,2.10461,-1.61942
6.463,-0.284798,2.10447,-1.61838
5.54153,0.640686,2.11709,-1.58199
5.62088,0.574594,2.10541,-1.61494
6.84489,-0.644431,2.14813,-1.58709
5.52484,0.676885,2.10972,-1.5894
5.76491,0.422266,2.09209,-1.57994
5.82036,0.343526,2.09237,-1.58591
5.73576,0.459797,2.08223,-1.59581
6.0516,0.131801,2.14876,-1.57461
5.84772,0.338134,2.15622,-1.60579
5.93999,0.238054,2.09284,-1.60017
5.36523,0.823944,2.12659,-1.59132
5.40457,0.797539,2.14188,-1.59585
4.9399,1.2566,2.10068,-1.62359
5.63477,0.531918,2.15199,-1.59778
5.62588,0.560197,2.14633,-1.58918
6.43561,-0.260451,2.11978,-1.58758
6.406,-0.258921,2.09811,-1.62051
6.20596,-0.055583,2.11187,-1.55578
5.82729,0.388552,2.08222,-1.55627
5.76314,0.404961,2.10731,-1.56996
5.96008,0.226048,2.10882,-1.61248
5.95506,0.223093,2.10868,-1.6125
5.89617,0.296055,2.12496,-1.62432
5.89699,0.281939,2.10854,-1.61137
5.16184,0.990713,2.11109,-1.5799
4.75853,1.3951,2.09462,-1.54768
4.41312,1.79293,2.10715,-1.53557
4.7122,1.49833,2.09479,-1.54896
4.7421,1.48868,2.09798,-1.55874
4.73337,1.49028,2.1692,-1.63892
4.63111,1.5742,2.16844,-1.61596
6.23994,-0.0598532,2.09335,-1.59894
6.26093,-0.0437701,2.09328,-1.59925
5.33488,0.868653,2.09966,-1.56142
4.67156,1.52923,2.18544,-1.56346
6.72258,-0.516238,2.08642,-1.6267
6.25514,-0.0435516,2.22416,-1.52799
6.63185,-0.415004,2.10947,-1.6198
6.84747,-0.596822,2.13406,-1.63473
6.69985,-0.442688,2.13927,-1.54395
5.93867,0.320593,2.16038,-1.56266
5.2378,1.0143,2.12159,-1.53951
5.17653,1.11343,2.11599,-1.57135
5.22609,1.04693,2.15632,-1.62516
5.64371,0.629667,2.2053,-1.6107
5.4271,0.855096,2.1816,-1.56618
5.52351,0.754808,2.18207,-1.54716
5.24621,1.02984,2.21267,-1.5248
5.07219,1.20767,2.18887,-1.52032
5.06448,1.19841,2.18846,-1.51972
5.02871,1.24789,2.16821,-1.52785
4.7738,1.49162,2.17094,-1.54818
4.96299,1.32978,2.17164,-1.56584
4.98672,1.24217,2.17336,-1.61738
4.91564,1.32278,2.13715,-1.61341
5.72859,0.50426,2.08474,-1.58974
4.93552,1.31157,2.09957,-1.59035
4.47181,1.75221,2.14689,-1.59832
3.88438,2.38176,2.13053,-1.60543
4.52535,1.73706,2.1338,-1.61504
4.76163,1.48538,2.1413,-1.59057
5.58114,0.71245,2.09411,-1.58703
4.42646,1.85421,2.12841,-1.61772
4.13737,2.15795,2.10689,-1.61997
4.06185,2.23165,2.14664,-1.59271
4.66903,1.60707,2.07448,-1.63898
4.83843,1.47503,2.11424,-1.6177
6.25829,0.0403751,2.09683,-1.60196
6.56325,-0.244951,2.08067,-1.5776
6.91997,-0.606796,2.16309,-1.62025
4.49964,1.80381,2.10604,-1.61664
4.72137,1.56931,2.11109,-1.58595
5.10024,1.19621,2.07632,-1.59262
5.92254,0.36272,2.07995,-1.60332
5.76693,0.503751,2.1535,-1.59335
5.36428,0.919301,2.10544,-1.6128
5.56396,0.664159,2.08447,-1.59515
5.56719,0.669089,2.08412,-1.59541
4.54307,1.74451,2.1429,-1.54948
4.52675,1.72767,2.14428,-1.54953
4.73491,1.52011,2.12004,-1.60701
5.45592,0.785066,2.10504,-1.61404
5.51401,0.738442,2.06371,-1.60386
5.54691,0.665595,2.12694,-1.58684
5.54462,0.681607,2.12878,-1.55995
5.89532,0.324079,2.11962,-1.58475
4.10717,2.132,2.15482,-1.60125
4.83426,1.38174,2.08713,-1.60391
5.3638,0.845974,2.1816,-1.6068
4.79936,1.42202,2.09064,-1.59921
4.71431,1.54544,2.10962,-1.58608
5.28045,0.983946,2.17629,-1.60856
6.0391,0.223678,2.14408,-1.58449
4.9636,1.25695,2.14544,-1.60207
5.55412,0.677409,2.16386,-1.5826
6.10048,0.142661,2.12967,-1.59502
6.34468,-0.0942195,2.15373,-1.5839
6.09296,0.179448,2.14067,-1.58737
6.04294,0.194946,2.13775,-1.59059
4.63357,1.68138,2.20313,-1.60995
4.60649,1.65332,2.20774,-1.60639
5.32183,0.940907,2.15854,-1.59452
6.16889,0.0889867,2.14568,-1.59598
5.41012,0.848697,2.11997,-1.59439
4.85016,1.40055,2.11286,-1.58715
6.12694,0.146307,2.10846,-1.61915
4.81296,1.43822,2.16145,-1.57368
4.64917,1.61673,2.17892,-1.57438
6.12382,0.122052,2.07178,-1.63337
4.20175,2.03631,2.16568,-1.57237
5.14698,1.08627,2.16222,-1.57603
5.01147,1.23391,2.18167,-1.62227
5.7843,0.460402,2.09721,-1.55875
4.95443,1.26925,2.12967,-1.63493
5.3717,0.83903,2.15011,-1.614
5.20765,1.03195,2.11706,-1.5837
4.31396,1.88259,2.1316,-1.59301
4.37171,1.83249,2.13349,-1.61802
4.80181,1.42889,2.1065,-1.58821
4.83782,1.3838,2.11024,-1.59125
5.20337,1.04079,2.16565,-1.61028
4.76531,1.44215,2.13802,-1.59902
6.0174,0.195641,2.14146,-1.59767
4.96266,1.26999,2.16852,-1.6095
4.69446,1.50225,2.18745,-1.59683
4.83634,1.40911,2.12711,-1.60275
4.68826,1.52944,2.11862,-1.60017
4.89705,1.32331,2.11483,-1.5811
4.17094,2.04298,2.12962,-1.63526
5.33463,0.86463,2.14867,-1.59073
5.42289,0.80601,2.13129,-1.59243
4.66337,1.51381,2.08724,-1.61185
4.54255,1.63977,2.14342,-1.58883
5.1286,1.09697,2.14042,-1.60157
5.15685,1.05398,2.13715,-1.59817
5.10568,1.10815,2.09935,-1.60803
5.10568,1.10815,2.09935,-1.60803
5.09445,1.09461,2.09967,-1.60789
4.99123,1.20453,2.12096,-1.6229
5.2396,0.953467,2.13362,-1.60934
5.24147,0.965823,2.13211,-1.61678
5.02338,1.15791,2.13928,-1.63327
5.28064,0.897542,2.13587,-1.6085
5.49454,0.704605,2.1546,-1.61247
5.1558,1.02099,2.13303,-1.58682
4.90866,1.25901,2.14203,-1.59131
5.15161,1.02232,2.06945,-1.6232
5.08761,1.06544,2.05035,-1.62344
5.32033,0.804381,2.05524,-1.61763
5.28403,0.885307,2.05677,-1.61629
5.33554,0.832991,2.07498,-1.62296
5.69841,0.453235,2.07567,-1.60155
4.93922,1.18225,2.15056,-1.60386
6.09296,0.0143489,2.09431,-1.60856
5.99733,0.107119,2.10496,-1.60713
5.76698,0.343049,2.06621,-1.57213
5.04718,1.06138,2.09878,-1.60981
5.19357,0.900501,2.08272,-1.62068
5.33777,0.779173,2.16592,-1.59366
4.72297,1.39506,2.14928,-1.61451
5.46357,0.653612,2.14124,-1.54564
5.44641,0.677137,2.14661,-1.5522
5.43631,0.688556,2.1135,-1.59484
5.28652,0.822592,2.11557,-1.56946
4.57948,1.56104,2.10278,-1.64514
4.57627,1.56398,2.11925,-1.6505
4.62158,1.50604,2.15414,-1.5946
4.62734,1.52106,2.15418,-1.59429
4.53889,1.63488,2.1659,-1.62553
6.23695,-0.0628083,2.12048,-1.56358
4.10972,2.02699,2.13107,-1.58228
4.1468,2.02429,2.13391,-1.59913
3.83352,2.33338,2.14685,-1.60335
4.94084,1.20931,2.09578,-1.62586
4.11653,2.01679,2.12908,-1.59472
4.58526,1.54445,2.0887,-1.58569
4.50637,1.62863,2.12932,-1.63966
5.27452,0.84619,2.10285,-1.55212
5.34067,0.794999,2.12995,-1.57038
5.22313,0.890387,2.14694,-1.574
5.15304,0.982695,2.14486,-1.61345
4.2045,1.95014,2.12201,-1.60039
6.56682,-0.4444,2.14967,-1.61124
5.55141,0.569126,2.2027,-1.58558
5.50645,0.585126,2.18198,-1.59916
4.31827,1.79461,2.14491,-1.59505
4.64281,1.46686,2.12696,-1.60223
4.96272,1.13844,2.16176,-1.61664
5.49734,0.607704,2.16048,-1.56596
5.22027,0.88145,2.18954,-1.56464
5.43207,0.667286,2.16339,-1.58692
6.12531,0.0121074,2.10378,-1.61063
6.21279,-0.100573,2.10091,-1.62473
4.55568,1.56095,2.10422,-1.56869
6.04252,0.0729769,2.15037,-1.60165
6.21055,-0.103376,2.13161,-1.60037
6.45024,-0.343427,2.10669,-1.61642
6.34602,-0.220268,2.11343,-1.61532
4.62548,1.48596,2.14083,-1.59645
5.22249,0.901371,2.12152,-1.63179
4.73954,1.33158,2.13425,-1.5816
5.21465,0.865372,2.11539,-1.57881
5.20288,0.874792,2.10843,-1.59457
5.31034,0.795658,2.12744,-1.6131
5.66903,0.440987,2.12537,-1.60739
4.77935,1.33073,2.16144,-1.6145
5.89733,0.202797,2.11254,-1.53161
5.48289,0.612727,2.11643,-1.57709
5.5581,0.520231,2.11056,-1.57244
5.84267,0.275014,2.12013,-1.58721
4.84893,1.21826,2.15021,-1.60595
4.75394,1.32575,2.14327,-1.62526
5.28406,0.817792,2.15483,-1.59323
4.79473,1.29596,2.15531,-1.63641
5.93495,0.153013,2.09656,-1.55024
5.88003,0.220078,2.12041,-1.641
5.42576,0.645485,2.11147,-1.59763
5.41497,0.686977,2.10691,-1.58371
5.01052,1.08694,2.16561,-1.56601
6.91131,-0.823447,2.08791,-1.52841
