kappa1,kappa2,kappa3,xi1
5.6682,0.361374,2.16332,-1.5888
5.76573,0.26923,2.15102,-1.67401
5.3674,0.670377,2.15322,-1.71211
5.54996,0.465905,2.14219,-1.66729
5.52331,0.499248,2.15077,-1.66693
6.45092,-0.432956,2.114,-1.62819
6.46049,-0.406679,2.11411,-1.62855
6.50802,-0.453294,2.13942,-1.61766
6.47891,-0.469989,2.14004,-1.61773
4.93189,1.07832,2.13587,-1.60577
5.73528,0.27794,2.1573,-1.71043
5.4343,0.565199,2.17075,-1.64609
5.01964,1.02287,2.11546,-1.63972
5.33994,0.679017,2.16234,-1.70066
5.34727,0.659558,2.2124,-1.64337
4.76094,1.25039,2.07712,-1.68101
4.32252,1.70751,2.08408,-1.63287
4.5249,1.50559,2.10555,-1.61598
5.35454,0.685994,2.15971,-1.58113
5.82686,0.225947,2.14245,-1.54764
6.1334,-0.084213,2.15596,-1.69433
4.94837,1.14713,2.14172,-1.57506
4.9271,1.11734,2.1406,-1.57299
5.65737,0.406582,2.19,-1.59045
5.64973,0.452108,2.20741,-1.56205
5.6579,0.432544,2.20115,-1.57352
5.80323,0.302999,2.21559,-1.55241
5.24764,0.86956,2.16231,-1.65582
5.5705,0.557666,2.11186,-1.60478
4.91142,1.22215,2.10886,-1.66262
4.91331,1.23229,2.10757,-1.66129
5.1167,1.0731,2.13597,-1.67011
4.654,1.52264,2.06282,-1.6117
4.52949,1.66459,2.09005,-1.62911
6.51268,-0.315909,2.11177,-1.68913
5.51936,0.699325,2.14894,-1.52022
6.04613,0.16793,2.1474,-1.51183
5.79761,0.400305,2.13829,-1.50143
5.26413,0.937058,2.1389,-1.53355
5.43568,0.76249,2.09539,-1.57214
5.45874,0.789939,2.10534,-1.54952
4.89496,1.33362,2.12879,-1.53327
4.79194,1.48548,2.11365,-1.53574
4.92753,1.34163,2.11756,-1.55657
5.03211,1.24119,2.07201,-1.59915
5.1253,1.12114,2.1909,-1.61335
5.20083,1.03247,2.19444,-1.61183
5.22185,1.05533,2.19919,-1.61304
5.97151,0.310664,2.09578,-1.68104
5.694,0.596866,2.14941,-1.6722
5.74639,0.554666,2.14146,-1.62347
5.68387,0.602597,2.13477,-1.72513
5.6981,0.612747,2.13463,-1.72548
5.76061,0.567241,2.15571,-1.6473
5.73378,0.589268,2.16219,-1.61527
4.97605,1.33908,2.09182,-1.50795
5.31708,1.01275,2.10603,-1.50409
5.31708,1.01275,2.10603,-1.50409
5.30079,0.97392,2.10644,-1.50389
5.57923,0.73652,2.1101,-1.67859
5.67431,0.620601,2.10122,-1.64663
5.20902,1.08286,2.12503,-1.5181
5.51241,0.774167,2.1208,-1.58475
5.71255,0.550872,2.12043,-1.59856
4.53086,1.74057,2.09984,-1.55206
4.64439,1.64203,2.10878,-1.66889
5.26357,0.999412,2.13936,-1.56225
5.31556,0.941232,2.11483,-1.53784
5.31502,0.997199,2.11408,-1.53441
5.28102,1.02571,2.13623,-1.55642
4.72404,1.6181,2.12931,-1.61314
4.63129,1.69059,2.13372,-1.64054
4.68143,1.65003,2.13185,-1.69437
5.4061,0.913414,2.16431,-1.63196
4.9316,1.39474,2.13348,-1.64377
4.92954,1.39342,2.19226,-1.5921
5.49427,0.830568,2.11995,-1.553
5.52257,0.793058,2.07561,-1.59306
5.1167,1.19921,2.08246,-1.56315
5.47239,0.855627,2.06464,-1.64734
5.44056,0.877511,2.08567,-1.71385
5.87762,0.447339,2.19861,-1.65572
5.86915,0.439316,2.1761,-1.62699
5.98136,0.33871,2.18179,-1.63027
5.50626,0.822098,2.19512,-1.5955
5.27395,1.04559,2.15304,-1.52625
5.26297,1.03014,2.15269,-1.52676
5.45608,0.841047,2.14447,-1.56464
5.30657,0.999348,2.14837,-1.65472
5.2727,1.05862,2.13444,-1.60478
6.1174,0.217458,2.14395,-1.5366
5.96541,0.35141,2.14802,-1.57661
5.5975,0.726603,2.0867,-1.70955
5.72618,0.599673,2.1113,-1.71145
5.83904,0.486243,2.12429,-1.70795
5.71131,0.607103,2.09954,-1.64131
5.54689,0.781484,2.09006,-1.61167
5.55173,0.772351,2.17733,-1.63857
5.56145,0.793671,2.12101,-1.55526
5.54467,0.779757,2.10757,-1.69144
4.79467,1.54395,2.147,-1.66095
4.70218,1.62547,2.11033,-1.66186
5.84105,0.482921,2.11359,-1.71105
4.3432,1.92513,2.1508,-1.54981
4.25333,2.01377,2.19124,-1.5343
5.56224,0.701178,2.08349,-1.54258
5.84064,0.407994,2.14262,-1.5988
5.67727,0.5943,2.1105,-1.57448
5.8809,0.394905,2.11735,-1.5793
5.51224,0.77354,2.08616,-1.50351
5.90348,0.403521,2.11782,-1.64526
5.95615,0.30402,2.13707,-1.69202
6.09105,0.151811,2.10396,-1.58315
5.74275,0.520037,2.09907,-1.52337
6.24834,0.0555584,2.12625,-1.50995
6.24406,0.0641325,2.09685,-1.54371
5.939,0.392938,2.18007,-1.59267
5.41152,0.911821,2.08399,-1.69043
5.0026,1.32477,2.13776,-1.69917
5.01607,1.28758,2.13757,-1.70284
5.25634,1.05642,2.12029,-1.66937
4.86505,1.47375,2.07285,-1.67738
5.23282,1.09096,2.11543,-1.6588
5.34955,0.975591,2.15108,-1.69283
5.26178,1.06146,2.14884,-1.70034
4.97022,1.34577,2.10373,-1.65859
4.92716,1.4056,2.12051,-1.54466
5.23581,1.05598,2.06595,-1.55902
5.45795,0.833771,2.09576,-1.61573
5.43328,0.896862,2.07545,-1.56149
5.18821,1.13921,2.06413,-1.51728
5.00679,1.31204,2.1198,-1.53405
5.25701,1.08411,2.13128,-1.71994
5.31876,1.01028,2.08193,-1.61759
5.51287,0.843337,2.19243,-1.65354
5.67947,0.679625,2.20056,-1.70132
5.5281,0.829269,2.19444,-1.69682
5.75455,0.590872,2.13797,-1.65183
5.76627,0.55524,2.13147,-1.65491
5.6834,0.666474,2.12527,-1.64686
6.12234,0.224065,2.13856,-1.71943
6.31297,0.0304116,2.13137,-1.67597
6.31079,0.043296,2.12823,-1.68107
5.76744,0.589335,2.16417,-1.68477
5.76963,0.595216,2.16465,-1.70749
5.76476,0.596259,2.16512,-1.70852
5.08454,1.29729,2.12404,-1.68064
4.96106,1.42956,2.12933,-1.62763
6.59966,-0.196194,2.13617,-1.52995
7.02712,-0.632008,2.11911,-1.58282
6.28988,0.110974,2.12349,-1.48599
6.35213,0.0594191,2.12499,-1.52224
6.11223,0.303459,2.14741,-1.47312
4.96939,1.44027,2.1241,-1.71063
4.59548,1.80248,2.12791,-1.64503
4.61403,1.74837,2.12824,-1.63186
4.3967,1.97417,2.0942,-1.60913
4.96611,1.43305,2.11677,-1.48276
4.8175,1.56818,2.13426,-1.57022
5.10307,1.28168,2.13607,-1.58399
4.90737,1.47824,2.15074,-1.52501
5.0835,1.30341,2.127,-1.61787
5.08085,1.30531,2.13656,-1.62161
4.73693,1.66218,2.12043,-1.5908
5.0707,1.33152,2.1111,-1.54857
5.0707,1.33152,2.1111,-1.54857
5.74036,0.628834,2.13299,-1.63389
5.65103,0.704096,2.11593,-1.63744
5.58046,0.772125,2.14448,-1.67546
5.25512,1.11085,2.10437,-1.66941
5.10358,1.27173,2.10257,-1.63001
5.64925,0.730295,2.09839,-1.62193
5.02186,1.36175,2.15908,-1.51836
4.95802,1.42676,2.13559,-1.56724
4.96901,1.43336,2.1357,-1.56728
5.13174,1.32499,2.10187,-1.61125
5.96788,0.47484,2.11348,-1.54481
5.57492,0.858613,2.16439,-1.54968
5.08907,1.36399,2.15104,-1.49596
5.08286,1.35203,2.15112,-1.49648
5.31324,1.10633,2.12456,-1.54014
5.18216,1.22673,2.15348,-1.52606
5.1427,1.2476,2.15401,-1.51414
7.31899,-0.930403,2.07763,-1.63765
6.94224,-0.554568,2.13476,-1.63186
5.64063,0.731703,2.09128,-1.69857
6.21028,0.159266,2.12333,-1.66608
5.95083,0.418689,2.16,-1.51058
5.85683,0.49063,2.14552,-1.50465
5.13702,1.22233,2.12117,-1.72364
4.8934,1.4662,2.13245,-1.63878
5.5556,0.792252,2.10989,-1.5728
5.92874,0.40848,2.10084,-1.52787
5.52933,0.852443,2.12156,-1.50219
5.49624,0.856377,2.12157,-1.50133
4.68518,1.6918,2.15437,-1.70102
4.8174,1.56062,2.17143,-1.67395
5.04528,1.32426,2.11991,-1.63984
5.03101,1.33784,2.16099,-1.54748
4.85805,1.51162,2.17026,-1.61284
5.66835,0.698745,2.09648,-1.68169
5.17552,1.22589,2.14246,-1.49935
6.04442,0.345126,2.11635,-1.64676
6.03874,0.33212,2.11635,-1.64721
6.12305,0.21536,2.10365,-1.65569
5.51935,0.855623,2.06817,-1.67041
4.75995,1.60455,2.11199,-1.5508
5.55511,0.796459,2.15131,-1.56696
4.63507,1.75429,2.10065,-1.69388
5.09538,1.27369,2.13409,-1.70452
5.10072,1.26055,2.13418,-1.70506
4.22074,2.13269,2.11036,-1.64131
4.12833,2.22284,2.0974,-1.65235
3.57135,2.78582,2.08903,-1.68198
3.78083,2.55602,2.14574,-1.64102
3.75447,2.58876,2.14412,-1.63335
4.43226,1.92445,2.15198,-1.66061
4.36892,1.97551,2.1521,-1.65184
5.18943,1.15082,2.16873,-1.57595
4.96292,1.3752,2.14594,-1.70155
4.48207,1.86987,2.13034,-1.67921
4.58375,1.754,2.13997,-1.65074
4.53878,1.79004,2.14332,-1.68718
5.17525,1.15347,2.12366,-1.52427
5.20666,1.16416,2.1242,-1.52345
5.16684,1.19411,2.12153,-1.51706
5.16882,1.19139,2.12014,-1.51485
6.05936,0.307908,2.12178,-1.56461
5.99625,0.377384,2.17343,-1.49146
5.52009,0.847236,2.10959,-1.55274
5.54263,0.816422,2.10916,-1.51955
5.27103,1.08009,2.15117,-1.57939
5.30158,1.04602,2.10512,-1.5941
5.69086,0.647316,2.10518,-1.60308
5.76384,0.600729,2.07969,-1.5931
4.10081,2.26435,2.15092,-1.55248
4.23895,2.15595,2.12481,-1.57206
4.07845,2.29692,2.12,-1.55698
4.08265,2.27727,2.1194,-1.56123
4.5283,1.83611,2.10012,-1.56206
5.20334,1.16815,2.09681,-1.53446
5.68617,0.68715,2.12142,-1.52329
5.0849,1.29042,2.151,-1.65734
5.07585,1.29308,2.14986,-1.64978
4.75264,1.61678,2.12598,-1.63731
4.80151,1.55798,2.10898,-1.64275
5.42132,0.933843,2.16514,-1.49066
5.4225,0.932421,2.16154,-1.52171
5.11006,1.23956,2.1202,-1.69086
6.19767,0.146872,2.13457,-1.53562
5.87842,0.48048,2.1589,-1.55371
5.89487,0.457763,2.06208,-1.64601
5.8071,0.545222,2.19848,-1.63658
6.12763,0.217397,2.15472,-1.58376
6.22744,0.166814,2.1605,-1.57415
6.16923,0.187732,2.1242,-1.63162
6.29761,0.057195,2.11209,-1.63921
6.26474,0.0961068,2.10711,-1.58817
6.09559,0.258312,2.11416,-1.6542
5.7918,0.57789,2.11812,-1.73174
5.63675,0.73712,2.14377,-1.63405
6.89742,-0.537484,2.15119,-1.67276
7.27475,-0.87251,2.14021,-1.47543
5.88991,0.519768,2.16071,-1.66526
5.7966,0.619169,2.17137,-1.69745
5.99996,0.434648,2.08481,-1.68524
5.20736,1.25157,2.11136,-1.60509
5.28081,1.18113,2.09433,-1.59789
5.28129,1.19101,2.11427,-1.64363
5.36847,1.01599,2.11371,-1.6931
5.28187,1.12997,2.11795,-1.6758
5.23878,1.18761,2.12325,-1.67374
5.32433,1.10539,2.10814,-1.57698
5.28241,1.15744,2.13673,-1.48602
5.23641,1.20884,2.14879,-1.50331
5.29508,1.14485,2.12452,-1.60669
4.87874,1.55154,2.15774,-1.60947
5.39912,1.05511,2.1905,-1.69814
5.26345,1.17614,2.1629,-1.67281
5.06436,1.36822,2.1404,-1.68272
5.41149,1.01872,2.1074,-1.67211
