mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8
-2.49046819421427,-4.05185412747581,0.234067445839076,0.108752729872636,4.84356891667378,0.611912251100186,1.96974321204279,-2.71680620433291,2.02470811401051,4.67231249807984,3.65683940341613,10.0182585819136,4.82914317169665,2.43880324822322,22.7621968877147,13.0566730143498
-2.41430050796007,-4.01809477116537,0.326398727791068,0.184883932019076,4.9318029871656,0.550265736679875,1.95031312575084,-2.75108203538146,3.53384462077281,6.43858352310569,3.36553258959071,10.3641711688596,3.42054015291264,2.4008404633807,28.3012318087467,13.5030117468696
-2.28022212684964,-4.0546113827908,0.388998991268951,0.2174485584659,4.95033777937798,0.53251072282923,2.00446054037285,-2.71801650878602,3.42899597939485,4.5384654205288,2.70399387004131,7.0160800078978,4.39695985731749,2.43887957114316,26.5885935130181,14.0066946433808
-2.32806043599332,-4.00493635600284,0.266690979118902,0.198621838918002,5.04146284446568,0.597855058570644,1.98691740593297,-2.8186567366793,2.65423388173617,7.6584685132952,4.42412596736755,6.43993753394758,5.43213094373219,2.49107373314083,28.6685567025091,11.8490112626681
-2.27730292399145,-4.01926983401675,0.310548886242167,0.120519561814815,5.00105511642749,0.597354738774713,1.9964938362981,-2.70069206094958,2.58565507248723,8.74835442402458,3.41624969431994,7.44552332346861,3.59354879484072,1.91482315051081,17.565574378557,10.7946560058078
-2.33843408728545,-3.97210429042613,0.296717184729509,0.276303949679637,4.98876980348549,0.439541984591289,1.97043595352868,-2.67256660027035,2.5557792136713,9.70899755207473,3.72983546070032,10.3099763771069,4.8475558790767,3.42657997773922,36.6982711454112,10.5188401676619
-2.34854694117015,-3.97694261200856,0.310816338226008,0.166227296407986,4.78156753980632,0.75756034637534,2.01836345206858,-2.71870578888554,5.01480300114177,7.08110080295128,3.5697555872245,8.25619235202482,4.62076945613432,2.38343864402266,23.5862740726168,15.4630841695028
-2.42873294932694,-3.84940872098059,0.236416325266092,0.127706601458409,4.91291138208061,0.676068675095906,1.98355099935766,-2.66647791954835,4.11123337763917,8.05270830608006,3.28974323947238,6.15718486091555,5.61037888243804,2.26734452241009,32.2921768917144,10.2191932047716
-2.23657248476195,-3.83092644984541,0.271646824782717,0.273477194323118,4.88420272043519,0.5486201295681,2.00391949403884,-2.75423494743514,4.08627113410092,9.82190565412603,3.05740111701134,5.50185400752732,6.28496790065821,1.48564373137934,30.5814366656925,11.3990835898883
-2.39826327807001,-3.79456211309326,0.331398400820199,0.22615548524381,4.92558608654754,0.774127861598357,1.97150164744997,-2.68018893768549,1.97917861620878,7.49822922627599,2.89288442584018,7.77619045208976,9.62363519637772,1.75951430860012,30.0587639321872,9.01975033229496
-2.63312120743945,-3.92345275732088,0.302557282136983,0.118953030015838,4.85484943101066,0.705918200410478,2.0231658359204,-2.73148895553736,2.50396986402723,8.32035215488934,4.20907803021929,8.74910882550213,7.31268308718139,1.89187865028443,39.2897858542151,11.0032119397622
-2.37326060472491,-3.92614380122395,0.343220211948576,0.208475985813367,4.96426116875635,0.798086408486307,1.96630589419691,-2.77239530072392,1.93882504374947,8.25827230231306,3.35069397346448,8.0875007986644,7.20121487993405,2.13592212952441,27.4064683609398,12.3033792281135
-2.28504972667567,-3.90415578068678,0.185955085427384,0.118855231524128,4.78512584639635,0.749367904961575,2.03404461546471,-2.67678636349563,3.18549472834868,8.721301537339,4.33581955383227,7.95224126206418,5.00879775942248,2.02820653361103,30.3747645418441,11.7435801776134
-2.41509562437791,-3.92706571420615,0.253699899541198,0.131905969476488,4.97290522189362,0.631118786788946,2.0238114549338,-2.60724785798687,4.22025266192344,9.47491692799035,5.62423586016806,8.6817860541991,6.89651824502137,2.02449378801153,21.1742252838172,9.18824125800778
-2.49002194398407,-3.93469937002641,0.24488178387011,0.174370004531781,4.96005296401976,0.888330027924236,1.966958606609,-2.7800930202095,1.73537174275325,6.0767548569457,5.72054349845885,5.89432167916238,8.13242766835758,2.36768603664839,24.6379092744278,10.2918714321651
-2.46341756192259,-3.8147281123051,0.251821561493494,0.186752566158203,4.84343942950877,0.729894916179746,2.00585793540826,-2.74076180480416,3.21013764855554,11.7932847069715,5.57117613485522,6.66992030391383,8.25660382111009,3.49740630036736,33.5892858087513,13.972903239035
-2.30325742691072,-3.83534432811736,0.0982348246713108,0.297966474498562,4.88783714560839,0.949561192083937,2.02858473981653,-2.65340985966138,1.54097494247336,8.78427876972723,3.66844850148273,6.69022632981241,7.0791947087064,4.13628226237607,39.1970908983053,7.06274969500567
-2.25372134552002,-3.81842840063963,0.120844290581583,0.134467714178854,4.85617486982241,0.78218783272866,1.95576338262184,-2.74947098671187,2.31642387175894,8.61497813362566,2.48556631508251,8.42520206084309,5.83271073357715,4.08450880604455,24.8263255045658,10.5143802426167
-2.57128943317182,-3.74832322366472,0.0899555529903441,0.203158919545112,4.84611256347103,0.785003320956175,2.04994753160043,-2.69586686015947,2.51277610949409,8.19611321894092,4.95027937954081,12.5290766314831,4.39383980744999,3.86653557289661,21.5744265401179,12.2716228735692
-2.37807050511956,-3.90065930222888,0.227949716733726,0.243529918171479,4.89829186880586,0.774444374122092,2.04214273130808,-2.73300127778494,3.9011826489607,5.54376167102741,3.42187466155619,7.83604708044359,5.49845358289842,3.57811694587258,25.9869103014351,11.4697068586227
-2.32589972812998,-3.78232285902608,0.330967960379657,0.145205688722989,4.85251122939055,0.876228904900814,2.01986585452431,-2.67112044406628,2.35288450921106,4.56392433917935,5.08435927030554,6.59724146926834,6.96681081335765,2.70036444201006,25.1584444192901,14.0820489834328
-2.38232780416731,-3.79435696429667,0.282466168968514,0.186551520290318,4.8204581171095,0.777713692366427,2.05256832496765,-2.60350606659833,3.03333804207995,6.50030638851001,6.80593483236976,7.29309988528769,10.0542431662539,3.55484780423612,29.2620379665658,10.3530913560564
-2.41610035572939,-3.70009663120853,0.176442389456379,0.174286320251844,4.77659575557456,0.800158419903953,1.98593498510749,-2.70371818952909,3.64322397022567,7.88786795004942,6.55899028746923,10.9004063750102,7.33236161981792,4.31181274947657,29.1906038686474,10.8868823991023
-2.43480086595583,-3.77330491582357,0.272862640217782,0.0950204241747744,4.77079198852641,0.629704576276159,2.01823409283682,-2.75071364960858,3.27967532309411,11.0866708561417,6.98851677568133,8.90965043266261,4.41030045250113,3.93089191891556,26.4787421473019,10.793482415366
-2.52253507177811,-3.78379353787136,0.246480881924829,0.121614867785169,4.73306510897595,0.742262282514776,2.06401673555195,-2.80358201536751,2.28684204348583,5.73769764227434,6.39421700641584,9.34994096217988,5.37143768155952,3.83199011182854,31.9515435564444,7.67550715962336
-2.39869524484824,-3.87422784944942,0.254334431429137,0.177914398123381,4.7814776893996,0.730550045032029,2.0064994688809,-2.83394470628486,3.21302988557833,11.0664095020584,7.75762509852498,8.09089786702827,6.52231809234971,3.49779183503668,31.0393281744385,7.12968392183669
-2.36683035615353,-3.80798217096877,0.159446403830928,0.124608044401163,4.77261774015579,0.733564798008845,2.02034102259109,-2.77045975949206,3.32672065878115,10.9723433920752,8.50643234130074,13.005522531242,5.30308282077412,2.84225475486161,27.3514814914114,8.96021697046016
