time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
12.5,6.45305447390999,6.902160536562,6.21883826751992,6.99508091165818,6.61307730602714,6.44834878503933,6.50414443764844,6.42499100310082,6.58995122312825,5.50637042170526,6.3923917670605,6.35135344011827,7.28097951304298,5.94615984883103,5.63221354328746,6.64795013836829,6.98758133084109,6.51002078355749,7.22847858585077,6.22904178336496,6.45576780742855,6.46714983785428,6.48156898652856,7.23387873000759,6.3849603903722,6.48047848312331,5.96548145430471,6.12037768051593,6.65353933515763,5.94199498197981,6.70461638097381,7.44731392060081,6.81384261142825,6.50085575954341,5.61468864568971,6.56354784290526,6.97846596981376,6.45280051875782,6.59570836147105,6.49965602139832
13,6.13183146877205,6.35796420204201,6.6901033256988,6.77702772621631,6.68725046165761,6.06031386273013,6.51572381192689,6.20533314984519,6.42509485909232,5.74276404910412,6.30556451791814,6.44611732927896,7.22622606438459,6.2056450858128,5.55717471372086,6.53635547837783,7.14662035912272,6.17461638123572,6.77474468688564,6.39730169025216,6.98391607697639,6.94413037571011,6.48206055680158,7.06437554739852,6.53092346491513,6.75096128821542,5.94322765799876,6.30430895680516,6.81100361490647,5.87123490746842,6.81923463735117,7.69061364307567,7.05260119327786,6.63144522634217,5.67071394335889,6.49544252518635,6.9794625081,6.42715575679188,6.82675014868195,6.49287109081599
13.5,5.87123953682637,6.51775389888085,6.4978085274669,6.79491239699664,6.40616165916974,6.25016711747532,6.40874829277077,6.03510778442271,6.42539024606013,5.53941987847182,6.19870055971169,5.90792290427672,6.94091698854303,6.13284190350205,5.48823289016098,6.3131725248775,7.51128978450969,6.17323579730306,7.13794781879534,5.8319525509138,6.54976532188583,6.50269739591128,6.72814816750701,6.78616665813475,6.16503459871915,6.22040578305602,6.5144102388694,6.21871614562595,6.49609943948047,6.04324167173457,6.16572249797684,7.59196224848477,6.77796645067226,6.14176364176077,5.75942404167069,6.43700190703805,6.82069648415536,6.38825650341838,6.89806411090745,6.50704343100878
14,6.13442501800312,6.4680182704263,6.9072113032967,6.89631857356317,6.50048369970675,6.24944395516149,6.34985925772362,6.10413634638206,6.39485059885673,5.46082862232472,6.3805287401851,6.2771427164422,6.73166563815641,6.24822612989607,5.36766062225396,6.5577694340071,7.10548091203762,6.78588317761717,6.6857878213174,6.16136277476973,6.90970120785543,6.42587281807618,6.62063601045872,7.01584751003208,5.78617127859171,6.75338547266517,6.32549579157923,6.09835949672073,6.43682842371416,5.77475768027147,6.48509164716941,7.72827110564901,6.89641161299525,6.56169304934309,5.84075646246933,6.57444074548664,6.84050096081405,6.67571127011077,6.46763617805359,6.22540341259384
14.5,5.95188898962046,6.61720715184169,6.35396253486067,6.77522330506455,6.46889930136939,6.13180324792468,6.23733688468843,5.99598824451198,6.25305652257992,5.5784379586928,6.54408368723742,6.13735712046302,7.1238120174985,6.48470416040959,5.5442539617584,6.48445183093946,6.94005223548686,6.28262188306696,7.2993635968672,5.95428172423463,6.50412051487374,6.87052976069937,6.57412324306467,6.68119864267994,6.07497177730018,6.27311607537423,5.97275184883055,6.30569250535396,6.88859464199214,6.06762579598511,6.41301121682779,7.185971971747,7.36664587070016,6.78129520431271,5.31069121481629,6.50964547532137,7.06263134215483,6.37792247622257,6.5264099343713,6.45260699385042
15,6.10216582754457,6.57390029621337,6.63518441238357,6.85347527687534,6.40914083597054,6.25146253090211,6.5364938729029,5.95863744689532,6.41790480232685,5.46238912419408,6.54671029433703,6.62824141935637,6.86885013454843,6.29709359744492,5.25895017028787,6.52058225348361,7.17428745842828,6.6297342078053,6.83880342860122,5.96278675224672,6.77641190060509,6.28611130244933,7.03106649911812,7.07941559689989,6.14901923036401,6.67869433729318,5.66144569145241,6.06903164136144,6.34012054805231,6.00779763897359,6.70344228815951,7.58639969187106,6.67183030375258,6.40353787362547,5.29010047185531,6.72641587829321,6.94693491803717,6.62416493916959,6.48175335684371,6.22223041984348
15.5,5.98384697938814,6.67277172972511,6.457780784295,6.92422131200261,5.96965188375458,6.14459420161638,6.39087227191781,6.03796796773294,6.14968171282898,5.74577346463319,6.1164058719382,6.17369048754387,7.10001992480275,6.07590071450943,5.29652118833361,6.08675974383676,7.01371661699773,6.47051189563138,6.95476077168642,6.05748081353812,6.81341815230933,6.34453597161712,6.46338532617441,6.64447462883015,5.9029609905357,6.09746234781352,6.27285192859938,6.07129836758908,6.30330897822605,5.94104310545262,6.47873637793713,7.3375456411519,7.15079866176592,6.4519329851111,5.28856527939188,6.17685400608449,6.98293088833504,6.40287481866776,6.65331503642917,6.01402351599511
16,6.14122775633786,6.2811409158041,6.65483220368528,6.40839223952115,6.36310881612628,6.17193716093597,6.24543135667549,5.56254835553157,6.5883991214939,5.3983272714009,6.14068934887725,5.80931996697687,6.77897971366579,6.3973047208471,5.53045854011876,6.31919039925525,7.0223681977463,5.86725515939877,6.69186940971028,5.79247527933271,6.4706520723359,6.38673453410199,6.45242382374901,7.13234115105232,5.82290110676753,6.41390927852306,6.39153798660358,6.53606030015015,6.48924436587429,5.73645242929287,6.30896399096148,7.44629213293353,6.38191762978047,6.3985530198695,5.18206927808753,6.36445494176293,6.8380090787215,6.5584949908617,6.35157942279059,6.45131995053674
16.5,5.94017402049489,6.43401610228795,6.16482084427028,6.51902851199307,5.97739369999272,5.96793080290326,6.45634211866681,6.21970721742364,6.22549306913892,5.61988192700335,6.42403523126484,6.21933992457216,6.72022946413983,5.7683866881557,5.47155866265101,6.2351492473294,7.11337141150686,6.40411554678129,6.77558871421048,5.86186641508579,6.52265061177441,6.02495487845735,6.55440841769124,6.93040647145055,6.2538993740578,6.33289256385965,6.12636613693661,6.45771528305269,6.18243365434238,5.9253314694562,6.31861062460915,7.11212190285002,6.4206434470915,6.53670723945113,5.24895545231134,6.52884092022732,7.26095012619209,6.66667161381128,6.59954660109398,6.27995188442067
17,6.13472671156789,6.38517220693616,6.15160204758222,6.3849043015514,6.23034559939188,5.86814098196717,6.77295807036754,5.93638983995521,6.32600480816107,5.23845726578344,6.54347287774792,6.20922265144488,6.93146892772298,5.91420716834812,5.06960218130926,6.0018146272232,6.74846635824808,6.13472360176322,6.78830831975984,6.03261684455653,6.42785299537595,6.46635854188865,6.74270392590734,6.90634217529013,6.02363883097143,6.68125562510217,6.09733900590761,6.05029028847538,6.50638563697904,5.69968419655137,6.40645020651772,7.28567155321324,6.74876730111034,6.29024671386673,5.62844527117439,6.06545707608377,6.59090913319007,6.86106911563217,6.57350712691341,6.12168785956921
