time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
5.59322033898305,7.21860980038775,6.08017800171549,6.98411865567573,6.44741524916112,6.64385005440337,7.12369594075522,6.97780575491623,7.39255858773473,6.10370610127337,7.27298466368954,7.51031724428914,7.41580520051823,6.92771044158844,7.0346990655948,6.14047590645965,6.79086933143408,6.94843339230369,7.02406738892139,6.9130339175503,6.54490760281733
6.10169491525424,7.16573607114566,6.19429360827001,6.98574632061313,6.44708169689163,6.65000811220095,7.12466995982891,6.95422340692615,7.51445992033173,6.10086471100499,7.22900115913016,7.51108951372965,7.36671388595793,6.88097543461017,7.03065542031368,6.0843458832634,6.78457667758116,6.99414998367354,7.00835602964572,6.88986859140567,6.55528912335194
6.61016949152542,7.2223077361028,6.1358488455514,7.00225724882951,6.47369704007632,6.64780003261407,7.03007497206864,7.01355968242335,7.46265900107473,6.02981473377966,7.25471315882187,7.48995835594204,7.32351043939639,6.91731910897292,7.02805443341428,6.07526646581218,6.73701049444323,6.89310782393987,6.94938091566935,6.91177432158745,6.56428340945699
7.11864406779661,7.16135705523188,6.19260964050922,7.02607079503416,6.33811467592591,6.6285565308826,7.06151857683265,6.97696216230677,7.49629386292604,6.00482946688272,7.25690006251562,7.41261179099359,7.38345245975706,6.8513636111967,6.9976727795318,6.13736299571678,6.74204252998393,6.94670573614072,6.91221408278317,6.82119269344071,6.48217279936545
7.6271186440678,7.08175524302453,6.17245237478673,6.99005686790204,6.4344449426233,6.56121279494003,7.12984377585201,6.98228736201599,7.5195698169025,5.952567941574,7.23321571492172,7.50263842993059,7.31700189277825,6.87161549795236,6.92220997150946,6.11440595054763,6.74564923631412,6.94754950084074,6.95576452425072,6.82206012005675,6.55803249161186
8.13559322033898,7.13416824982166,6.12931903532179,7.02305813985437,6.41566720953154,6.52629649657661,7.04205958873148,7.01317189328404,7.55098393357973,5.96804547449999,7.22805710128873,7.50786874830082,7.30672399459739,6.77861607980004,6.94291804868407,6.11293708884366,6.67680722828646,6.87215355906613,6.96731536962055,6.79843638586328,6.53154303679159
8.64406779661017,7.0566413632791,6.12903855953202,7.00628975429827,6.39356705899864,6.46992648435306,6.99755123588457,6.9927287303384,7.57056105068622,5.89399638667268,7.18551434605025,7.48649284637416,7.27438705770841,6.84501211754352,6.91104683168398,6.08630110132016,6.59250609030848,6.94404113758726,6.91160736345104,6.78542253467055,6.51506359119814
9.15254237288136,7.07559571403884,6.08038734647811,7.06016052115587,6.32371997927574,6.43423748677551,7.00812772709085,6.94693174446159,7.56860186119657,5.92225396806397,7.18236577794973,7.50696100042902,7.28546533890252,6.82074256495824,6.83210138525582,6.03369748899177,6.64186004908368,6.90408141559949,6.86716904491414,6.72743381460159,6.45299690078394
9.66101694915254,7.07792678276322,6.01199551140161,7.0558921828791,6.32057906680499,6.50431563300547,6.92607732518584,6.95591944360307,7.59615249645509,5.87210335532287,7.16174233539938,7.51937760905365,7.29474485682363,6.77717943217169,6.87401714204014,5.99308244800338,6.61985461104126,6.85251992680706,6.85799212595331,6.75277547891684,6.5750689314988
10.1694915254237,7.00528454474358,6.0344592237293,7.01833756052149,6.24365253543905,6.43272261752867,6.89487735145646,6.97444663408402,7.64523611676741,5.78754968478043,7.14019234685683,7.41804652557428,7.26691853660197,6.72611716565859,6.85099291512693,6.0343837478807,6.59698497857545,6.89021720739773,6.80511719419641,6.75898459729816,6.48972187656909
